id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,availabilityStatus,returnPolicy,minimumOrderQuantity,Discount_Amount,Discounted_Price,Inventory_Value,Discounted_Inventory_Value,Discount_Band,Stock_Status
148,Golf Ball,sports-accessories,9.99,17.37,4.3,84,Unknown,SPO-BRD-GOL-148,3,In Stock,No return policy,40,1.74,8.25,839.16,693.0,Medium,High Stock
149,Iron Golf,sports-accessories,49.99,6.53,4.41,90,Unknown,SPO-BRD-IRO-149,2,In Stock,7 days return policy,8,3.26,46.73,4499.1,4205.7,Low,High Stock
150,Metal Baseball Bat,sports-accessories,29.99,19.51,4.66,16,Unknown,SPO-BRD-MET-150,7,In Stock,60 days return policy,9,5.85,24.14,479.84,386.24,Medium,Low Stock
151,Tennis Ball,sports-accessories,6.99,11.76,4.06,28,Unknown,SPO-BRD-TEN-151,3,In Stock,7 days return policy,6,0.82,6.17,195.72,172.76,Medium,Medium Stock
152,Tennis Racket,sports-accessories,49.99,19.61,4.03,6,Unknown,SPO-BRD-TEN-152,7,Low Stock,7 days return policy,5,9.8,40.19,299.94,241.14,Medium,Low Stock
153,Volleyball,sports-accessories,11.99,12.25,3.84,0,Unknown,SPO-BRD-VOL-153,3,Out of Stock,90 days return policy,44,1.47,10.52,0.0,0.0,Medium,Out of Stock
154,Black Sun Glasses,sunglasses,29.99,4.94,4.41,60,Fashion Shades,SUN-FAS-BLA-154,1,In Stock,7 days return policy,17,1.48,28.51,1799.4,1710.6,Low,High Stock
155,Classic Sun Glasses,sunglasses,24.99,4.94,3.86,1,Fashion Shades,SUN-FAS-CLA-155,8,Low Stock,90 days return policy,18,1.23,23.76,24.99,23.76,Low,Low Stock
156,Green and Black Glasses,sunglasses,34.99,1.01,4.55,24,Fashion Shades,SUN-FAS-GRE-156,7,In Stock,30 days return policy,15,0.35,34.64,839.76,831.36,Low,Medium Stock
157,Party Glasses,sunglasses,19.99,11.22,2.79,86,Fashion Fun,SUN-FAS-PAR-157,9,In Stock,7 days return policy,39,2.24,17.75,1719.14,1526.5,Medium,High Stock
158,Sunglasses,sunglasses,22.99,1.51,3.02,27,Fashion Shades,SUN-FAS-SUN-158,1,In Stock,60 days return policy,8,0.35,22.64,620.73,611.28,Low,Medium Stock
159,iPad Mini 2021 Starlight,tablets,499.99,3.64,3.18,47,Apple,TAB-APP-IPA-159,5,In Stock,No return policy,3,18.2,481.79,23499.53,22644.13,Low,Medium Stock
160,Samsung Galaxy Tab S8 Plus Grey,tablets,599.99,13.31,4.68,62,Samsung,TAB-SAM-SAM-160,1,In Stock,7 days return policy,1,79.86,520.13,37199.38,32248.06,Medium,High Stock
161,Samsung Galaxy Tab White,tablets,349.99,18.2,3.72,92,Samsung,TAB-SAM-SAM-161,5,In Stock,7 days return policy,5,63.7,286.29,32199.08,26338.68,Medium,High Stock
162,Blue Frock,tops,29.99,12.13,4.17,52,Unknown,TOP-BRD-BLU-162,5,In Stock,60 days return policy,4,3.64,26.35,1559.48,1370.2,Medium,High Stock
163,Girl Summer Dress,tops,19.99,19.2,4.77,43,Unknown,TOP-BRD-GIR-163,5,In Stock,60 days return policy,46,3.84,16.15,859.57,694.45,Medium,Medium Stock
164,Gray Dress,tops,34.99,14.28,2.72,55,Unknown,TOP-BRD-GRA-164,1,In Stock,90 days return policy,13,5.0,29.99,1924.45,1649.45,Medium,High Stock
165,Short Frock,tops,24.99,13.45,3.23,22,Unknown,TOP-BRD-SHO-165,10,In Stock,30 days return policy,5,3.36,21.63,549.78,475.86,Medium,Medium Stock
166,Tartan Dress,tops,39.99,12.95,4.05,73,Unknown,TOP-BRD-TAR-166,8,In Stock,No return policy,1,5.18,34.81,2919.27,2541.13,Medium,High Stock
167,300 Touring,vehicle,28999.99,3.98,4.05,54,Chrysler,VEH-CHR-TOU-167,9,In Stock,30 days return policy,1,1154.2,27845.79,1565999.46,1503672.66,Low,High Stock
168,Charger SXT RWD,vehicle,32999.99,8.23,2.58,57,Dodge,VEH-DOD-CHA-168,6,In Stock,No return policy,1,2715.9,30284.09,1880999.43,1726193.13,Low,High Stock
169,Dodge Hornet GT Plus,vehicle,24999.99,2.63,2.65,82,Dodge,VEH-DOD-DOD-169,8,In Stock,60 days return policy,1,657.5,24342.49,2049999.18,1996084.18,Low,High Stock
170,Durango SXT RWD,vehicle,36999.99,16.44,4.07,95,Dodge,VEH-DOD-DUR-170,1,In Stock,30 days return policy,1,6082.8,30917.19,3514999.05,2937133.05,Medium,High Stock
171,Pacifica Touring,vehicle,31999.99,14.76,3.62,53,Chrysler,VEH-CHR-PAC-171,9,In Stock,60 days return policy,1,4723.2,27276.79,1695999.47,1445669.87,Medium,High Stock
172,Blue Women's Handbag,womens-bags,49.99,17.88,2.92,76,Fashionista,WOM-FAS-BLU-172,7,In Stock,7 days return policy,5,8.94,41.05,3799.24,3119.8,Medium,High Stock
173,Heshe Women's Leather Bag,womens-bags,129.99,3.87,4.92,99,Heshe,WOM-HES-HES-173,3,In Stock,90 days return policy,5,5.03,124.96,12869.01,12371.04,Low,High Stock
174,Prada Women Bag,womens-bags,599.99,14.09,2.71,75,Prada,WOM-PRA-PRA-174,4,In Stock,60 days return policy,1,84.54,515.45,44999.25,38658.75,Medium,High Stock
175,White Faux Leather Backpack,womens-bags,39.99,15.2,3.36,39,Urban Chic,WOM-URB-WHI-175,7,In Stock,90 days return policy,7,6.08,33.91,1559.61,1322.49,Medium,Medium Stock
176,Women Handbag Black,womens-bags,59.99,11.63,2.89,11,Elegance Collection,WOM-ELE-WOM-176,6,In Stock,60 days return policy,9,6.98,53.01,659.89,583.11,Medium,Low Stock
177,Black Women's Gown,womens-dresses,129.99,10.48,3.64,25,Unknown,WOM-BRD-BLA-177,2,In Stock,No return policy,5,13.62,116.37,3249.75,2909.25,Medium,Medium Stock
178,Corset Leather With Skirt,womens-dresses,89.99,16.26,3.05,30,Unknown,WOM-BRD-COR-178,1,In Stock,30 days return policy,3,14.63,75.36,2699.7,2260.8,Medium,Medium Stock
179,Corset With Black Skirt,womens-dresses,79.99,15.06,4.52,33,Unknown,WOM-BRD-COR-179,7,In Stock,No return policy,5,12.05,67.94,2639.67,2242.02,Medium,Medium Stock
180,Dress Pea,womens-dresses,49.99,17.68,4.88,6,Unknown,WOM-BRD-DRE-180,1,Low Stock,90 days return policy,6,8.84,41.15,299.94,246.9,Medium,Low Stock
181,Marni Red & Black Suit,womens-dresses,179.99,19.02,4.48,62,Unknown,WOM-BRD-MAR-181,3,In Stock,90 days return policy,2,34.23,145.76,11159.38,9037.12,Medium,High Stock
182,Green Crystal Earring,womens-jewellery,29.99,15.24,3.96,54,Unknown,WOM-BRD-GRE-182,2,In Stock,60 days return policy,15,4.57,25.42,1619.46,1372.68,Medium,High Stock
183,Green Oval Earring,womens-jewellery,24.99,15.18,3.57,73,Unknown,WOM-BRD-GRE-183,10,In Stock,60 days return policy,19,3.79,21.2,1824.27,1547.6,Medium,High Stock
184,Tropical Earring,womens-jewellery,19.99,0.76,4.4,1,Unknown,WOM-BRD-TRO-184,3,Low Stock,7 days return policy,31,0.15,19.84,19.99,19.84,Low,Low Stock
185,Black & Brown Slipper,womens-shoes,19.99,3.33,2.53,3,Comfort Trends,WOM-COM-BLA-185,5,Low Stock,60 days return policy,47,0.67,19.32,59.97,57.96,Low,Low Stock
186,Calvin Klein Heel Shoes,womens-shoes,79.99,3.19,4.92,93,Calvin Klein,WOM-CAL-CAL-186,6,In Stock,60 days return policy,6,2.55,77.44,7439.07,7201.92,Low,High Stock
187,Golden Shoes Woman,womens-shoes,49.99,13.93,3.26,88,Fashion Diva,WOM-FAS-GOL-187,4,In Stock,7 days return policy,7,6.96,43.03,4399.12,3786.64,Medium,High Stock
188,Pampi Shoes,womens-shoes,29.99,14.14,3.05,49,Pampi,WOM-PAM-PAM-188,7,In Stock,60 days return policy,12,4.24,25.75,1469.51,1261.75,Medium,Medium Stock
189,Red Shoes,womens-shoes,34.99,17.69,3.25,7,Fashion Express,WOM-FAS-SHO-189,10,Low Stock,60 days return policy,8,6.19,28.8,244.93,201.6,Medium,Low Stock
190,IWC Ingenieur Automatic Steel,womens-watches,4999.99,9.45,2.93,90,IWC,WOM-IWC-ING-190,3,In Stock,No return policy,1,472.5,4527.49,449999.1,407474.1,Low,High Stock
191,Rolex Cellini Moonphase,womens-watches,15999.99,4.11,3.83,52,Rolex,WOM-ROL-ROL-191,10,In Stock,30 days return policy,1,657.6,15342.39,831999.48,797804.28,Low,High Stock
192,Rolex Datejust Women,womens-watches,10999.99,15.94,2.86,4,Rolex,WOM-ROL-ROL-192,3,Low Stock,No return policy,1,1753.4,9246.59,43999.96,36986.36,Medium,Low Stock
193,Watch Gold for Women,womens-watches,799.99,18.34,4.24,0,Fashion Gold,WOM-FAS-WAT-193,1,Out of Stock,60 days return policy,1,146.72,653.27,0.0,0.0,Medium,Out of Stock
194,Women's Wrist Watch,womens-watches,129.99,12.6,3.52,12,Fashion Co.,WOM-FAS-WOM-194,1,In Stock,No return policy,5,16.38,113.61,1559.88,1363.32,Medium,Low Stock
